Date;28-04-06;28-04-06;28-04-06;28-04-06;28-04-06;28-04-06;18-09-06;18-09-06;18-09-06;19-09-06;19-09-06;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
Load ;0.25;0.5;0.75;0.9;1;1.1;0.75;0.75;0.9;0.9;0.9;0;0.79441629;0.771180483;0.800322278;0.828251696;0.802663934;0.911959514;0;0;0;0;0.953628317
rpm;57.3;72.2;82.7;87.9;91;93.9;85.2;85.5;90.54;90.52;90.52;0;89;89.4;90.4;90.4;89.8;90.58;0;0;0;0;87.5
Tamb;16.5;17.6;18.5;19.2;19.7;20.5;35;35;34;35;35;0;34;30;40;27;35;43;0;0;0;0;38
Tscav;29;27;29;35;34;38;40.5;39;43;44;44;0;40;40;42;42;40;42;0;0;0;0;40
Tac1_Ain;43;100;143;167;183;200;157;165;192;178;178;0;170;165;185;170;175;190;0;0;0;0;170
Tac2_Ain;42;100;145;168;187;203;155;165;192;177;177;0;170;165;185;170;175;190;0;0;0;0;175
Tac1_Aout;24;28;30;32;34;37;39.5;40;42.5;41;41;0;36;38;40;40;38;40;0;0;0;0;38
Tac2_Aout;24;28;30;32;35;39;40;40;43.5;42;42;0;38;38;42;42;40;40;0;0;0;0;38
Tac1_Win;23;26;26;26;27;30;37;36;37;37;37;0;34;34;34;34;34;34;0;0;0;0;34
Tac2_Win;23;26;26;26;27;30;37;36;37;37;37;0;34;34;34;34;34;34;0;0;0;0;34
Tac1_Wout;24;30;37;42;47;52;49.5;44;57;54;54;0;50;49;54;58;50;54;0;0;0;0;40
Tac2_Wout;24;32;38;43;47;53;50;44;58;55;55;0;50;48;54;58;50;54;0;0;0;0;40
DP_ac1;62;112;152;175;190;203;165;165;180;175;175;0;190;190;195;210;195;200;0;0;0;0;180
DP_ac2;63;125;162;168;200;212;165;170;200;190;190;0;190;190;195;210;195;200;0;0;0;0;180
