Date;31-10-06;31-10-06;31-10-06;31-10-06;31-10-06;31-10-06;02-02-07;02-02-07;02-02-07;02-02-07;02-02-07;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
Load ;0.25;0.5;0.75;0.9;1;1.1;0.75;0.75;0.9;0.9;0.9;0;0.847;0.872;0.864;0.933;0.912;0.576;0.846;0.82;0;0.826;0.873
rpm;57.4;72.2;82.8;88;91.1;94;85.48;85.48;90.8;90.48;90.68;0;90.5;90.6;90.5;90.8;90.9;81.9;88.4;88;0;89.7;88.1
Tamb;17.4;20.9;22.6;23.4;25;26.9;26;26;28;28;27;0;31;42;42;44;44;48;42;44;0;38;40
Tscav;30;26;30;32.5;35;38;43;43;45;45;46;0;42;43;44;43;49;58;42;47;0;46;44
Tac1_Ain;40;95;144;167;182;200;156;155;180;180;175;0;175;195;195;202;215;180;195;205;0;195;200
Tac2_Ain;43;100;150;175;192;212;165;162;185;185;180;0;185;200;200;203;230;190;205;210;0;200;190
Tac1_Aout;23;24;30;33;36;40;43;42;45;45;45;0;42;43;42;45;49;48;42;47;0;46;48
Tac2_Aout;25;25;31;34;37;40;43;43;45;45;45;0;41;43;42;46;48;48;43;48;0;46;48
Tac1_Win;23;24;26;26;27;29;37;37;37;37;37;0;34;34;35;33;36;40;34;38;0;38;40
Tac2_Win;23;24;26;26;27;29;37;37;37;37;37;0;34;34;35;33;36;40;34;38;0;38;40
Tac1_Wout;23;28;37;42;45;51;51;52;56;56;55;0;52;54;55;57;60;58;54;61;0;57;60
Tac2_Wout;23;29;38;43;46;52;52;50;55;55;54;0;50;54;54;56;58;56;53;60;0;58;59
DP_ac1;54;100;145;165;180;195;150;145;170;175;170;0;150;155;155;155;165;110;150;170;0;165;170
DP_ac2;52;100;140;155;163;176;145;145;170;175;170;0;140;150;150;150;155;150;130;160;0;160;170
