Date;19-05-08;19-05-08;19-05-08;19-05-08;19-05-08;19-05-08;03-11-08;04-11-08;05-11-08;06-11-08;07-11-08;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
Load ;0.25;0.5;0.75;0.9;1;1.1;0.75;0.75;0.9;0.9;0.9;0.851199501;0.895303179;0.873497438;0.862833207;0.881253242;0.878344815;0;0;0;0;0.856017048;0.842402665
rpm;57.3;72.2;82.7;87.9;91;93.9;85.9;85.9;90.8;90.8;90.8;91;90.95;91;91;91;91;0;0;0;0;91.1;90.78333333
Tamb;19.9;20.2;20.4;20.8;21.1;21.7;32.0;31.0;31.0;30.0;32.0;30.0;29.0;31.0;23.0;30.0;33.0;0.0;0.0;0.0;0.0;28.0;33.0
Tscav;35;31;35;36;38;40;43;43;45;45;45;43;44;45;41;41;42;0;0;0;0;42;44
Tac1_Ain;48;102;145;170;185;201;160;165;182;182;182;170;140;168;165;172;155;0;0;0;0;160;180
Tac2_Ain;48;105;150;173;185;205;160;163;180;180;180;165;140;165;165;170;155;0;0;0;0;160;175
Tac1_Aout;30;30;34;36;39;41;44;44;46;46;46;44;47;42;42;42;42;0;0;0;0;40;45
Tac2_Aout;30;30;35;37;39;41;43;43;46;46;46;44;47;42;42;42;40;0;0;0;0;40;45
Tac1_Win;27;27;27;25;25;24;35;35;35;35;35;32;36;33;32;31;30;0;0;0;0;35;34
Tac2_Win;27;27;27;25;25;24;35;35;35;35;35;32;36;33;32;31;30;0;0;0;0;35;34
Tac1_Wout;30;35;44;48;52;56;51;52;56;56;56;57;59;59;50;49;51;0;0;0;0;60;55
Tac2_Wout;30;35;44;48;52;56;51;52;56;56;56;57;60;60;50;49;50;0;0;0;0;60;55
DP_ac1;55;100;140;155;170;180;135;145;160.5;160;160;160;155;170;180;180;160;0;0;0;0;155;160
DP_ac2;55;95;140;155;170;180;130;140;155;155;155;160;155;170;190;190;190;0;0;0;0;155;160
