Date;14-06-06;14-06-06;14-06-06;14-06-06;14-06-06;14-06-06;20-12-06;20-12-06;20-12-06;20-12-06;20-12-06;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
Load ;0.25;0.5;0.75;0.9;1;1.1;0.75;0.75;0.9;0.9;0.900;0.931;0.935;0.894;0.000;0.845;0.000;0.848;0.853;0.842;0.887;0.000;0.888
rpm;57.3;72.2;82.7;87.9;91;93.9;86.1;86.1;90.9;91.07;91;89.3;89.3;89.3;0;88.5;0;88.2;88.2;88.5;88.3;0;87.8
Tamb;22;22.8;23.2;26.4;23.9;24.2;28;28;28;28;28;28;31;34;0;42;0;45;43;42;42;0;38
Tscav;34;31;37;40;41;40;41;41;43;43;43;43;42;42;0;50;0;48;44;45;4.4;0;45
Tac1_Ain;42;93;140;162;177;192;150;150;170;175;175;160;157;165;0;183;0;171;170;170;175;0;50
Tac2_Ain;45;98;145;167;181;197;145;145;165;170;170;160;156;165;0;183;0;170;165;172;170;0;50
Tac1_Aout;25;28;35;37;38;38;38;37;39;40;40;38;36;37;0;45;0;42;40;41;42;0;44
Tac2_Aout;26;28;35.5;39;40;39;39;39;41;41;41;39;38;39;0;47;0;44;40;43;40;0;44
Tac1_Win;26;28;33;32;33;29;35;35;35;35;35;34;35;35;0;41;0;41;34;37;37;0;40
Tac2_Win;26;28;33;32;33;29;35;35;35;35;35;34;35;35;0;41;0;41;34;37;37;0;40
Tac1_Wout;27;35;49;54;51;54;49;50;53;54;54;50;50;52;0;61;0;58;52;55;55;0;60
Tac2_Wout;26;34;48;53;51;52;47;48;51;52;52;49;48;50;0;60;0;56;52;54;55;0;60
DP_ac1;60;115;165;190;205;215;150;155;175;180;180;200;180;180;0;195;0;170;0;195;180;0;210
DP_ac2;60;110;165;190;205;225;160;145;180;185;185;195;180;190;0;210;0;200;0;200;180;0;200
